,wtd_rank,cause,necessity,catalyst,basket,price,wtd,veto,dip_score,dip_rank,stabilizing,theme,theme_rank
NLR,1,9,8,7,8,8,8.10,False,0.19,6,True,nuclear,1
URA,2,9,9,8,6,7,8.05,False,0.36,14,False,nuclear,2
XLU,3,8,9,7,9,7,8.00,False,0.36,14,True,sector,1
GLD,4,9,6,8,9,7,7.90,False,0.26,9,False,gold/silver,1
URNM,5,8,9,8,5,8,7.75,False,0.19,6,False,nuclear,3
SLV,6,8,7,7,8,6,7.30,False,0.06,1,False,gold/silver,2
XAR,7,7,7,6,8,5,6.65,False,0.32,12,False,defense,1
SHLD,8,6,8,7,7,5,6.60,False,0.15,5,False,defense,2
ITB,9,7,8,7,6,3,6.45,False,0.35,13,False,housing,1
ICLN,10,6,7,4,6,7,5.95,False,0.30,11,True,clean,1
KWEB,11,6,5,5,6,5,5.45,False,0.06,1,False,country,1
REMX,12,5,8,4,4,5,5.25,False,0.13,4,False,metals,1
TAN,13,4,6,3,5,6,4.65,False,0.11,3,False,clean,2
UFO,14,4,7,4,3,4,4.45,False,0.24,8,False,space,1
PBW,15,3,4,2,2,3,2.85,True,0.29,10,False,clean,3
